Feature Name,Type of missing,Type of imputation method,Run #,Mean Value,Mean Value_original_missing,Mean Value_original_no_missing,Difference Between No Missing,Difference Between Original (with MAR/MNAR)
bedrooms,mar,original,3.0276503540974917,0.05102463992624633,0.05102463992624633,0.02765662972121358,0.05691215987177191,0.0
bedrooms,mar,synthesizer,3.0276503540974917,0.08244707604725351,0.05102463992624633,0.02765662972121358,0.08109703686258289,0.06678336585224566
bedrooms,mar,synthpop,3.0276503540974917,0.13270910414536422,0.05102463992624633,0.02765662972121358,0.11566518274009777,0.08728735279420358
bedrooms,mnar,original,3.0276503540974917,0.04216072769837673,0.04216072769837673,0.02765662972121358,0.0525961856159169,0.0
bedrooms,mnar,synthesizer,3.0276503540974917,0.06202852949974361,0.04216072769837673,0.02765662972121358,0.07150108769908282,0.04081969649007276
bedrooms,mnar,synthpop,3.0276503540974917,0.10540972902362501,0.04216072769837673,0.02765662972121358,0.09371332988952104,0.05217220523339001
bedrooms,original,original,3.0276503540974917,0.02765662972121358,0.02765662972121358,0.02765662972121358,0.0,0.0
parking,mar,original,3.0276503540974917,0.03468392888689382,0.03468392888689382,0.062153806732996635,0.06704147453394473,0.0
parking,mar,synthesizer,3.0276503540974917,0.04907932819518057,0.03468392888689382,0.062153806732996635,0.05417690633204599,0.05394721672331268
parking,mar,synthpop,3.0276503540974917,0.10555507313340859,0.03468392888689382,0.062153806732996635,0.0732486476802775,0.06750928249130769
parking,mnar,original,3.0276503540974917,0.026363454041078066,0.026363454041078066,0.062153806732996635,0.0505077970121541,0.0
parking,mnar,synthesizer,3.0276503540974917,0.04775376787870423,0.026363454041078066,0.062153806732996635,0.05393805524016313,0.01920567948936727
parking,mnar,synthpop,3.0276503540974917,0.03887206348396653,0.026363454041078066,0.062153806732996635,0.06179118381236282,0.024729269245078286
parking,original,original,3.0276503540974917,0.062153806732996635,0.062153806732996635,0.062153806732996635,0.0,0.0
stories,mar,original,3.0276503540974917,0.04724085105247329,0.04724085105247329,0.022043953973262538,0.023622899162256655,0.0
stories,mar,synthesizer,3.0276503540974917,0.09476403637928123,0.04724085105247329,0.022043953973262538,0.044682420718598875,0.05558519781546715
stories,mar,synthpop,3.0276503540974917,0.09837131056749707,0.04724085105247329,0.022043953973262538,0.10218368428393078,0.11020033613215094
stories,mnar,original,3.0276503540974917,0.11313797944999382,0.11313797944999382,0.022043953973262538,0.07183968903060045,0.0
stories,mnar,synthesizer,3.0276503540974917,0.177069332305418,0.11313797944999382,0.022043953973262538,0.17610054585223858,0.11514590779630841
stories,mnar,synthpop,3.0276503540974917,0.24143478320026798,0.11313797944999382,0.022043953973262538,0.12647307760816517,0.18922767985547337
stories,original,original,3.0276503540974917,0.022043953973262538,0.022043953973262538,0.022043953973262538,0.0,0.0
