run,data_type,model,score,method
7,real,randomforestregressor,884502.3629537747,synthesizer
7,real,lasso,958486.515070177,synthesizer
7,real,ridge,937835.3240830996,synthesizer
7,real,kneighborsregressor,898703.0049858323,synthesizer
7,real,svr,1393992.837504849,synthesizer
7,mar,xgbregressor_no_impute,1035036.3487388494,synthesizer
7,mar,xgbregressor,1010223.638145306,synthesizer
7,mar,randomforestregressor,959856.628417619,synthesizer
7,mar,lasso,1010165.8968988432,synthesizer
7,mar,ridge,1004928.0875157956,synthesizer
7,mar,kneighborsregressor,981094.2390536926,synthesizer
7,mar,svr,1469972.4567418538,synthesizer
7,mnar,xgbregressor_no_impute,1086827.2398057147,synthesizer
7,mnar,xgbregressor,1028051.6562320346,synthesizer
7,mnar,randomforestregressor,941323.214548437,synthesizer
7,mnar,lasso,1027855.020634513,synthesizer
7,mnar,ridge,1012136.5429240068,synthesizer
7,mnar,kneighborsregressor,981316.0152354988,synthesizer
7,mnar,svr,1436656.716275534,synthesizer
8,real,xgbregressor_no_impute,1091452.3633108973,synthesizer
8,real,xgbregressor,1049786.4399267335,synthesizer
8,real,randomforestregressor,1081708.0442248078,synthesizer
8,real,lasso,1042360.6651817432,synthesizer
8,real,ridge,1038168.3212205048,synthesizer
8,real,kneighborsregressor,1064360.36344925,synthesizer
8,real,svr,1561644.6981813617,synthesizer
8,mar,xgbregressor_no_impute,1057581.1998358502,synthesizer
8,mar,xgbregressor,1064741.6451101382,synthesizer
8,mar,randomforestregressor,1095797.778802285,synthesizer
8,mar,lasso,1025301.1099525983,synthesizer
8,mar,ridge,1007555.3659949368,synthesizer
8,mar,kneighborsregressor,1045470.5344543628,synthesizer
8,mar,svr,1587245.9553012564,synthesizer
8,mnar,xgbregressor_no_impute,1053273.4200251296,synthesizer
8,mnar,xgbregressor,1134253.238420874,synthesizer
8,mnar,randomforestregressor,1157361.1001969953,synthesizer
8,mnar,lasso,984299.638182158,synthesizer
8,mnar,ridge,972343.7143116504,synthesizer
8,mnar,kneighborsregressor,1061687.5265362037,synthesizer
8,mnar,svr,1424820.9756877604,synthesizer
9,real,xgbregressor_no_impute,1077070.4703855682,synthesizer
9,real,xgbregressor,1108275.6898146218,synthesizer
9,real,randomforestregressor,1137509.3348573514,synthesizer
9,real,lasso,1032115.599077308,synthesizer
9,real,ridge,1024837.870264287,synthesizer
9,real,kneighborsregressor,1262431.018802461,synthesizer
9,real,svr,1468042.4218171888,synthesizer
9,mar,xgbregressor_no_impute,1165472.3013396976,synthesizer
9,mar,xgbregressor,1172484.3105019848,synthesizer
9,mar,randomforestregressor,1232593.7770778907,synthesizer
9,mar,lasso,1036782.6918404103,synthesizer
9,mar,ridge,1035745.0724838112,synthesizer
9,mar,kneighborsregressor,1223682.025299176,synthesizer
9,mar,svr,1386252.3336096804,synthesizer
9,mnar,xgbregressor_no_impute,1139009.45115757,synthesizer
9,mnar,xgbregressor,1089340.7209764265,synthesizer
9,mnar,randomforestregressor,1127709.723244864,synthesizer
9,mnar,lasso,1019408.3693164012,synthesizer
9,mnar,ridge,1011379.4858318028,synthesizer
9,mnar,kneighborsregressor,1133415.2815537343,synthesizer
9,mnar,svr,1671289.1957487538,synthesizer
