run,data_type,model,score
7,mar,randomforestregressor,1010417.0966623608
7,mar,lasso,985609.0433883432
7,mar,ridge,978533.8720691864
7,mar,kneighborsregressor,948476.2977118915
7,mar,svr,1598328.786551522
7,mnar,xgbregressor_no_impute,975602.953097035
7,mnar,xgbregressor,929975.7222121385
7,mnar,randomforestregressor,1046428.3734510681
7,mnar,lasso,986145.3481157712
7,mnar,ridge,980694.9945190068
7,mnar,kneighborsregressor,953908.8652942162
7,mnar,svr,1453272.3799710725
8,original,xgbregressor_no_impute,966522.817395773
8,original,xgbregressor,936773.3609774596
8,original,randomforestregressor,975278.8911977344
8,original,lasso,885064.4633069272
8,original,ridge,883617.2411207764
8,original,kneighborsregressor,1102755.5673370848
8,original,svr,1528908.2936313914
8,mar,xgbregressor_no_impute,918009.5350596771
8,mar,xgbregressor,960975.7124210356
8,mar,randomforestregressor,1008102.4273758656
8,mar,lasso,952001.2661803685
8,mar,ridge,954453.9982661244
8,mar,kneighborsregressor,930194.257251063
8,mar,svr,1514809.4309263674
8,mnar,xgbregressor_no_impute,1021681.2513604611
8,mnar,xgbregressor,1010706.932531675
8,mnar,randomforestregressor,1154929.4532651487
8,mnar,lasso,941791.5519750959
8,mnar,ridge,929244.8442259419
8,mnar,kneighborsregressor,971878.4116580648
8,mnar,svr,1446425.4597353777
9,original,xgbregressor_no_impute,1174352.8301222508
9,original,xgbregressor,1149769.8150654656
9,original,randomforestregressor,1154208.234409112
9,original,lasso,1053442.75301348
9,original,ridge,1039848.1984776048
9,original,kneighborsregressor,1248603.959201192
9,original,svr,1576418.1194955136
9,mar,xgbregressor_no_impute,1062295.9854601217
9,mar,xgbregressor,1000603.5569698806
9,mar,randomforestregressor,1060379.0472633669
9,mar,lasso,1022000.1380876023
9,mar,ridge,1016802.1263662248
9,mar,kneighborsregressor,1185702.8335631385
9,mar,svr,1501886.622602386
9,mnar,xgbregressor_no_impute,1176925.323089108
9,mnar,xgbregressor,1175809.547009373
9,mnar,randomforestregressor,1061883.9265081114
9,mnar,lasso,1030023.9674671976
9,mnar,ridge,1020190.5645395505
9,mnar,kneighborsregressor,1005299.5782826127
9,mnar,svr,1393969.8384504095
