run,data_type,model,score
7,mar,randomforestregressor,959856.628417619
7,mar,lasso,1010165.8968988431
7,mar,ridge,1004928.0875157956
7,mar,kneighborsregressor,981094.2390536926
7,mar,svr,1469972.4567418538
7,mnar,xgbregressor_no_impute,1086827.2398057147
7,mnar,xgbregressor,1028051.6562320346
7,mnar,randomforestregressor,941323.214548437
7,mnar,lasso,1027855.020634513
7,mnar,ridge,1012136.5429240068
7,mnar,kneighborsregressor,981316.0152354989
7,mnar,svr,1436656.7162755341
8,original,xgbregressor_no_impute,1091452.3633108973
8,original,xgbregressor,1049786.4399267335
8,original,randomforestregressor,1081708.0442248078
8,original,lasso,1042360.6651817431
8,original,ridge,1038168.3212205047
8,original,kneighborsregressor,1064360.36344925
8,original,svr,1561644.6981813617
8,mar,xgbregressor_no_impute,1057581.1998358502
8,mar,xgbregressor,1064741.6451101382
8,mar,randomforestregressor,1095797.778802285
8,mar,lasso,1025301.1099525985
8,mar,ridge,1007555.3659949369
8,mar,kneighborsregressor,1045470.5344543627
8,mar,svr,1587245.9553012564
8,mnar,xgbregressor_no_impute,1053273.4200251296
8,mnar,xgbregressor,1134253.238420874
8,mnar,randomforestregressor,1157361.1001969953
8,mnar,lasso,984299.6381821579
8,mnar,ridge,972343.7143116503
8,mnar,kneighborsregressor,1061687.5265362035
8,mnar,svr,1424820.9756877604
9,original,xgbregressor_no_impute,1077070.4703855682
9,original,xgbregressor,1108275.6898146218
9,original,randomforestregressor,1137509.3348573514
9,original,lasso,1032115.599077308
9,original,ridge,1024837.870264287
9,original,kneighborsregressor,1262431.018802461
9,original,svr,1468042.4218171888
9,mar,xgbregressor_no_impute,1165472.3013396976
9,mar,xgbregressor,1172484.3105019848
9,mar,randomforestregressor,1232593.7770778907
9,mar,lasso,1036782.6918404103
9,mar,ridge,1035745.0724838111
9,mar,kneighborsregressor,1223682.025299176
9,mar,svr,1386252.3336096804
9,mnar,xgbregressor_no_impute,1139009.4511575701
9,mnar,xgbregressor,1089340.7209764263
9,mnar,randomforestregressor,1127709.723244864
9,mnar,lasso,1019408.3693164013
9,mnar,ridge,1011379.4858318027
9,mnar,kneighborsregressor,1133415.2815537343
9,mnar,svr,1671289.1957487538
